PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021, popn_highschool_and_equivalent,high_school_per,area_kmsq,lum_count_2021,sum_2021,mean_2021,lum_count_2017,sum_2017,mean_2017,lum_count_2016,sum_2016,mean_2016,lum_count_2015,sum_2015,mean_2015,lum_count_2014,sum_2014,mean_2014,lum_count_2013,sum_2013,mean_2013,lum_count_2012,sum_2012,mean_2012,lisa_total_100_20_21,lisa_governance_management_9_20_21,lisa_organization_administration_8_20_21,lisa_budget_plan_management_11_20_21,lisa_fiscal_economic_management_11_20_21,lisa_service_delivery_16_20_21,lisa_judicial_execution_7_20_21,lisa_physical_infrastructure_13_20_21,lisa_social_inclusion_10_20_21,lisa_environmental_protection_ disaster_management_9_20_21,lisa_cooperation_coordination_6_20_21,lisa_total_100_21_22,lisa_governance_management_9_21_22,lisa_organization_administration_8_21_22,lisa_budget_plan_management_11_21_22,lisa_fiscal_economic_management_11_21_22,lisa_service_delivery_16_21_22,lisa_judicial_execution_7_21_22,lisa_physical_infrastructure_13_21_22,lisa_social_inclusion_10_21_22,lisa_environmental_protection_ disaster_management_9_21_22,lisa_cooperation_coordination_6_21_22,fra_plan_budget_program_management_21_21_22,fra_implementation_capability_management_21_21_22,fra_accounting_reporting_17_20_21,fra_monitoring_evaluation_audit_16_21_22,fra_revenue_management_17_21_22,fra_total_100_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation
7,ACHHAM,Gaunpalika,Mellekh,23096,1250,5.41%,134.78,725,267.5829317,0.369079906,725,212.4253346,0.293000461,725,52.07505906,0.071827668,725,109.0960268,0.150477278,725,68.95467728,0.0951099,725,94.72746064,0.130658566,725,80.19840219,0.110618486,63.75,8,4,8.5,9.25,13.75,4,7,2.5,3.25,3.5,60.25,8,5,5.5,8,9.75,5,10.5,4.5,3,1,8,12,10,7,4.5,41.5,Lok Bahadur Bohora,36,Male,CPN-MC
7,ACHHAM,Nagarpalika,Panchadewal Binayak,26316,1427,5.42%,147.75,787,310.0654599,0.393984066,787,221.8985585,0.281954966,787,61.08243378,0.077614274,787,114.2063933,0.145116129,787,95.30015898,0.121092959,787,102.397161,0.130110751,787,82.42141388,0.104728607,52,5.25,3.5,3.75,7.5,9.75,6,4.5,9.25,2,0.5,60.75,8,5.75,6,6.5,12,6,5.5,8.5,2.5,0,11.5,18,12,8.5,10.5,60.5,Deb Raj Debkota,63,Male,NC
7,ACHHAM,Gaunpalika,Ramaroshan,22676,1217,5.37%,173.33,920,309.6740633,0.336602243,920,259.3478211,0.281899805,920,68.83685813,0.074822672,920,132.8136989,0.144362716,920,91.37693926,0.09932276,920,116.8619522,0.127023861,920,91.93408439,0.099928353,40,5.5,3,6,5,5.5,3,8,3,1,0,56.75,6.5,5,8.5,8.5,6.75,3.5,8,7,3,0,4.5,7.5,4,3.5,3.5,23,Inkar Bahadur Saud,39,Male,CPN-MC
7,ACHHAM,Nagarpalika,Sanphebagar,25990,2259,8.69%,166.71,882,361.0330668,0.409334543,882,281.5036972,0.31916519,882,113.37085,0.128538379,882,145.7911324,0.165296068,882,103.5334935,0.117384913,882,127.2138513,0.144233391,882,118.3356518,0.134167406,56.5,9,5,6.5,7.75,11.5,7,3,3.25,3.5,0,64.75,9,3.5,8,7,12.25,7,4,6.5,5.5,2,15.5,11,9,7,7,49.5,Kul Bahadur Kunwar,49,Male,CPN-UML
7,ACHHAM,Gaunpalika,Turmakhad,24440,1334,5.46%,232.07,1233,782.094029,0.634301727,1233,356.6670906,0.289267713,1233,198.4004687,0.160908734,1233,219.9343111,0.178373326,1233,190.3780504,0.154402312,1233,230.2672965,0.186753687,1233,167.5347616,0.135875719,66.5,9,6.5,7.25,7.5,12.75,3,6.25,5.75,5,3.5,51.5,6.25,2.5,6,7,8,4,6,4.5,4.5,2.75,7,11.5,6,2.5,1,28,Puspa Raj Sharma,39,Male,NC
7,BAITADI,Nagarpalika,Dasharathchanda,31786,3367,10.59%,135.15,723,301.6506276,0.417220785,723,254.4774785,0.351974382,723,117.6117229,0.162671816,723,173.2481912,0.239624054,723,126.7556703,0.175319046,723,141.1347154,0.195207075,723,142.3666567,0.196911005,63,8,5.75,7.5,7.5,10,5.5,3,6.5,5.5,3.75,65.5,8,8,9,9.5,12.5,6,5,3,1,3.5,12,18,7,7.5,3,47.5,Narendra Sighn Thapa,55,Male,NC
7,BAITADI,Gaunpalika,Dilasaini,23233,2199,9.46%,125.27,668,275.5394687,0.412484235,668,215.0410481,0.321917737,668,92.99959354,0.139220948,668,116.2896622,0.174086321,668,97.11507322,0.145381846,668,102.7368665,0.153797704,668,93.80506033,0.140426737,62,8,5.75,5,8.5,12.75,6,5,5,6,0,65,7.5,7.5,6.5,9.75,12,7,5.75,3.5,5.5,0,14,23,16,8,4,65,Ukendra Bahadur Bohora,38,Male,CPN-UML
7,BAITADI,Gaunpalika,Dogadakedar,23619,2089,8.84%,126.38,686,267.757364,0.390316857,686,209.6939076,0.30567625,686,74.78841431,0.109021012,686,124.6115706,0.18164952,686,87.84085469,0.128047893,686,115.4740985,0.16832959,686,102.4103981,0.149286295,48.5,5.5,5,5.5,7.75,7.25,4,4.5,5,4,0,55,8,4,6.5,9,9,4,4,7.5,3,0,13.5,19,11,4,11,58.5,Chakra Bahadur Karki,45,Male,CPN-UML
7,BAITADI,Nagarpalika,Melauli,21000,1543,7.35%,119.7,639,233.0667053,0.364736628,639,192.2267273,0.300824299,639,71.93565268,0.112575356,639,105.0257645,0.164359569,639,75.15133265,0.117607719,639,88.97121582,0.13923508,639,98.02090833,0.153397353,65.25,8,5.25,7,8.75,10.25,4,7,6.25,3,5.75,65.5,7.25,6.25,7,8.5,9.75,4,6.25,6,4.75,5.75,8,15.5,11,7,4.5,46,Krishna Sighn Nayek,64,Male,NC
7,BAITADI,Gaunpalika,Pancheshwar,17780,1204,6.77%,120.41,649,266.5322677,0.41068146,649,214.1176278,0.329919303,649,73.56885429,0.113357249,649,126.257489,0.194541585,649,90.24692782,0.139055359,649,101.2439606,0.155999939,649,114.7709798,0.176842804,33.5,5.5,4.75,2.5,6.75,2.25,0,4,3.75,2,2,71,7,7.5,9,11,11,4,7,4.5,4,6,4,12,4,5.5,2,27.5,Gorakh Bahadur Chand,49,Male,CPN-UML
