province,district,unit_type,unit_name,popn_2021,popn_highschool_and_equivalent,high_school_per,area_kmsq,change_nl_sq_km,baseline_nl_sqkm,sum_2023,mean_2023,sum_2022,mean_2022,sum_2021,mean_2021,sum_2020,mean_2020,sum_2019,mean_2019,sum_2018,mean_2018,sum_2017,mean_2017,sum_2016,mean_2016,sum_2015,mean_2015,sum_2014,mean_2014,sum_2013,mean_2013,sum_2012,mean_2012,lisa_20_21,gov_magm_20_21,org_admin_20_21,budg_magm_20_21,fiscal_magm_20_21,service_dev_20_21,jud_exe_20_21,phy_infra_20_21,soc_inc_20_21,env_protec_20_21,cop_cor_20_21,lisa_21_22,gov_magm_21_22,org_admin_21_22,budg_magm_21_22,fiscal_magm_21_22,service_dev_21_22,jud_exe_21_22,phy_infra_21_22,soc_inc_21_22,env_protec_21_22,cop_cor_21_22,fra_plan_budget_program_manageme,fra_implementation_capability_ma,fra_accounting_reporting_17_20_2,fra_monitoring_evaluation_audit_,fra_revenue_management_17_21_22,fra_total_100_21_22,nameofchairperson,ageatelection,sex,politicalaffiliation,baseline_nl,log_baseline_nl,chgnl,ln_popn,high_school_percent,urban_num,gov_coalitiion,female,over_65,ln_area,ln_educ,lisa_avg,gov_magm_avg,org_admin_avg,budg_magm_avg,fiscal_magm_avg,service_dev_avg,jud_exe_avg,phy_infra_avg,soc_inc_avg,env_protec_avg,cop_cor_avg
7,BAITADI,Nagarpalika,Patan,28360,2729,9.62%,219.25999,.96941978,3.9122825,518.79669,.44265929,531.34558,.45336652,576.68701,.49205375,378.25406,.32274237,321.51398,.27432933,324.69574,.27704415,364.13202,.31069285,128.20724,.10939184,205.4982,.17533976,159.96962,.13649285,176.70224,.15076983,184.03635,.15702759,45,7,4,5,6,8.5,5,4,4,1.5,0,41,6.5,4,3.25,5.75,8,4.5,3,4,1.5,.5,5,12,5,6,4,32,Keshav Bahadur Chand,66,Male,NC,214.45177,5.3680849,5.359201,10.252735,9.6227083,1,0,0,1,5.3902583,7.9116907,43,6.75,4,4.125,5.875,8.25,4.75,3.5,4,1.5,.25
7,BAITADI,Nagarpalika,Purchaudi,38666,3051,7.89%,198.52,.42541906,3.4334741,446.43576,.41997722,390.00623,.36689204,389.09171,.36603171,324.72845,.30548304,255.56686,.24042037,286.71689,.26972428,304.63751,.2865828,97.616035,.091830701,168.20824,.15823916,111.15151,.10456398,136.35893,.12827745,124.81213,.11741498,50.5,7,4.75,6.5,8.25,10.25,3,4.5,3.75,2,.5,80.5,8,7,8,10,14.5,7,11,8,6,1,14.5,24,11,7,5.5,62,Rada Bahadur Kuwar,50,Male,CPN-MC,170.40332,5.1381683,4.4362092,10.562716,7.8906531,1,1,0,0,5.2908897,8.0232248,65.5,7.5,5.875,7.25,9.125,12.375,5,7.75,5.875,4,.75
7,BAITADI,Gaunpalika,Shivanath,18247,1060,5.81%,81.650002,.23494171,4.1177816,192.10519,.44366094,183.38211,.42351526,162.57635,.37546501,140.4294,.32431734,129.23499,.29846418,122.49352,.28289494,143.39336,.33116248,51.862717,.11977533,74.841026,.17284302,66.119766,.15270153,61.336926,.14165571,115.22801,.26611549,50.25,9,3,6,8.25,7,4,3.5,4.5,5,0,62.25,9,6,6,7,11,5,5.75,6,4.5,2,11,21.5,11,9,6,58.5,Karna Sighn Saud,41,Male,NC,84.054214,4.4314618,2.9540243,9.8117561,5.8091741,0,0,0,0,4.402442,6.9660244,56.25,9,4.5,6,7.625,9,4.5,4.625,5.25,4.75,1
7,BAITADI,Gaunpalika,Sigas,23479,1685,7.18%,245.44,.39467868,3.4536915,547.18201,.41737759,480.80731,.36674851,476.70081,.36361617,409.41159,.31228954,331.47067,.25283805,352.14828,.26861042,379.83087,.28972605,126.90433,.096799634,189.31046,.14440157,151.62839,.11565857,177.11017,.13509548,157.77063,.12034374,41.5,7.25,3.75,5.25,6,7,3,1.5,6.75,.5,.5,48.25,8,5,7.25,7.5,10.25,2.5,1,3.5,1.5,1.75,16,23.5,13,7,5.5,65,Hari Sighn Dhami,49,Male,NC,211.91852,5.3562016,4.573369,10.063862,7.1766257,0,0,0,0,5.5030527,7.4295206,44.875,7.625,4.375,6.25,6.75,8.625,2.75,1.25,5.125,1,1.125
7,BAITADI,Gaunpalika,Surnaya,18230,1383,7.59%,124.52,.38170055,3.5546393,287.22617,.43519118,249.40508,.37788647,243.34836,.36870962,211.54462,.32052216,164.24057,.24884935,179.83685,.27248007,195.819,.29669547,62.367371,.094496019,109.16255,.16539781,75.27475,.11405265,89.295677,.13529648,85.506042,.1295546,62,7.75,5,6.5,9.5,8.75,6,9,3,5,1.5,50.75,6.25,5.5,3.5,9,8.5,5,4.5,1.5,5.5,1.5,13,17.5,13,5,8,56.5,Bir Bahadur Bista,42,Male,NC,110.65591,4.7064257,3.8613477,9.8108234,7.5863962,0,0,0,0,4.8244662,7.2320104,56.375,7,5.25,5,9.25,8.625,5.5,6.75,2.25,5.25,1.5
7,BAJHANG,Gaunpalika,Bithadchir,16854,1147,6.81%,86.150002,.42148441,3.247406,200.27766,.43538621,169.46185,.36839536,168.25667,.36577535,146.92165,.31939489,110.99932,.24130286,123.17832,.26777896,131.94579,.28683865,36.298927,.078910716,66.446877,.14444973,45.072445,.097983569,58.412189,.12698302,54.437897,.11834325,57.25,7,4,5,7.75,8,5,6.5,6,5,3,44.25,7.25,4,4,6.25,9,4,2,4.75,3,0,4.5,16.5,8,3.5,4.5,37,Prem Bahadur Bohora,36,Male,CPN-UML,69.94101,4.2476521,3.5921175,9.7323437,6.8055062,0,1,0,0,4.45609,7.0449052,50.75,7.125,4,4.5,7,8.5,4.5,4.25,5.375,4,1.5
7,BAJHANG,Nagarpalika,Bungal,33487,2177,6.50%,447.57999,.35833913,3.3376579,1005.7233,.41905135,838.76764,.3494865,850.34973,.35431239,767.73047,.3198877,584.82031,.24367513,652.89795,.27204081,689.96429,.28748512,193.5087,.080628619,365.37686,.15224035,245.01912,.1020913,327.52542,.13646893,277.01514,.11542297,19,3,1.5,0,4,3.5,2,3,.5,1.5,0,28.75,3,2,1.5,3.5,7.25,2.5,4,3,2,0,8,13,6,1.5,0,28.5,Dhan Bahadur Bista,45,Male,NC,373.46725,5.9228301,5.07758,10.418913,6.5010304,1,0,0,0,6.1038551,7.6857033,23.875,3,1.75,.75,3.75,5.375,2.25,3.5,1.75,1.75,0
7,BAJHANG,Gaunpalika,Chabispathivera,14515,1108,7.63%,116.34,.37904567,3.3213127,270.64426,.43233907,229.14078,.36603957,221.33275,.35356671,207.31908,.33118063,150.04605,.23969018,168.92809,.26985317,177.23457,.28312233,51.458008,.082201287,97.572945,.15586732,60.135979,.09606386,84.713081,.13532442,73.094635,.11676459,69.25,7.5,6.25,6.5,11,13,5.75,9.5,8.5,1.25,0,39.5,7.5,4.75,5.5,7.5,8,2.75,.5,0,2.5,.5,8,7.5,5,2.5,4,27,Akkal Bahadur Dhami,46,Male,CPN-UML,96.600372,4.5705824,3.7864184,9.5829382,7.6334825,0,1,0,0,4.7565169,7.0103121,54.375,7.5,5.5,6,9.25,10.5,4.25,5,4.25,1.875,.25
7,BAJHANG,Gaunpalika,Durgathali,11414,819,7.18%,61.830002,.35095918,3.406601,143.60828,.43255505,121.89672,.3671588,118.30145,.35632968,104.61252,.31509796,80.649475,.2429201,91.482666,.27555022,96.601646,.29096881,31.240381,.094097532,48.249443,.14532965,34.538673,.10403214,42.742008,.128741,38.647095,.11640692,43,7,3,7.5,6.5,4.5,1.5,1,5,5.5,1.5,49.75,7,1,6,8.75,9.5,3.5,4,5,5,0,7,17,11,6,4.5,45.5,Prayag Raj Joshi,41,Male,CPN-UML,52.657536,3.9638093,3.0773029,9.3425961,7.1753988,0,1,0,0,4.1243887,6.7080841,46.375,7,2,6.75,7.625,7,2.5,2.5,5,5.25,.75
7,BAJHANG,Nagarpalika,JayaPrithivi,21973,2392,10.89%,166.78999,.44855019,3.361764,397.85556,.44354022,345.23749,.38488016,339.8158,.37883589,292.29462,.325858,215.45328,.24019317,241.32454,.26903516,265.00211,.29543155,75.485367,.084153138,136.79068,.15249798,83.430458,.093010545,114.28677,.12740999,109.54073,.12211899,52.5,8,6,5.5,7.5,8,4.75,2,6.25,4,.5,60.25,7.5,6,7.5,8.5,9,6.5,4.5,4.75,5,1,15.5,16.5,5,2,7,46,Birendra Bahadur Khadka,49,Male,CPN-UML,140.17715,4.9429069,4.315001,9.99757,10.886087,1,1,0,0,5.1167355,7.7798853,56.375,7.75,6,6.5,8,8.5,5.625,3.25,5.5,4.5,.75
