PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021,popn_secondary,popn_highschool,popn_graduate,popn_post_graduate, popn_highschool_and_equivalent,high_school_per,area_kmsq,percen_chg_nl,baseline_nl_sqkm,sum_2023,mean_2023,sum_2022,mean_2022,sum_2021,mean_2021,sum_2020,mean_2020,sum_2019,mean_2019,sum_2018,mean_2018,sum_2017,mean_2017,sum_2016,mean_2016,sum_2015,mean_2015,sum_2014,mean_2014,sum_2013,mean_2013,sum_2012,mean_2012,lisa_20_21,gov_magm_20_21,org_admin_20_21,budg_magm_20_21,fiscal_magm_20_21,service_dev_20_21,jud_exe_20_21,phy_infra_20_21,soc_inc_20_21,env_protec_20_21,cop_cor_20_21,lisa_21_22,gov_magm_21_22,org_admin_21_22,budg_magm_21_22,fiscal_magm_21_22,service_dev_21_22,jud_exe_21_22,phy_infra_21_22,soc_inc_21_22,env_protec_21_22,cop_cor_21_22,fra_plan_budget_program_management_21_21_22,fra_implementation_capability_management_21_21_22,fra_accounting_reporting_17_20_21,fra_monitoring_evaluation_audit_16_21_22,fra_revenue_management_17_21_22,fra_total_100_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation
4,TANAHU,Gaunpalika,Devghat,14941,717,837,240,134,837,5.60%,159.45,38.9129164,1.215094385,437.5670618,0.522156398,333.688247,0.398195999,385.1137727,0.459562975,301.5910458,0.359893849,249.4990313,0.297731541,302.928877,0.361490307,277.2339554,0.330828109,168.0517507,0.200539082,163.4676675,0.195068816,166.2338252,0.19836972,229.8371258,0.274268647,122.7860897,0.14652278,57,9,5.5,9,6.5,10.5,4.5,4.5,2,3.5,2,62,8.5,5.5,5,7.75,9.5,5.5,6.25,6.5,4.5,3,9.5,17,13,6.5,10.5,56.5,Durga Bahadur Thapa,42,Male,CPN-UML
4,TANAHU,Gaunpalika,Ghiring,15038,708,846,153,91,846,5.63%,126.35,32.6020205,0.980923278,328.8659393,0.493052383,249.5100367,0.374078016,250.4680807,0.375514364,226.1135169,0.339000775,165.4363309,0.248030481,183.8306278,0.275608138,188.8870771,0.283189021,90.97154104,0.136389117,113.7638966,0.170560565,102.1361098,0.153127601,92.36971251,0.138485326,74.92002101,0.11232387,60.75,8,4.75,8,6.75,10.25,5,9.5,4,2,2.5,60,7.75,5.25,6,9,12.5,3,7.25,4.5,4.75,0,5.5,12.5,10,4.5,5,37.5,Ran Bahadur Rana,43,Male,CPN-UML
4,TANAHU,Gaunpalika,Myagde,23385,1610,2186,547,217,2186,9.35%,115.36,45.62292833,1.208171315,365.035443,0.600387242,299.2094669,0.492120834,297.5121365,0.489329172,260.759886,0.428881391,198.6128011,0.326665791,205.5429864,0.338064122,204.303086,0.336024812,85.98710953,0.141426167,139.6966693,0.229764259,127.5117068,0.209723202,132.3415848,0.21766708,111.4023519,0.183227553,91.5,9,8,11,11,16,7,9.5,10,7,3,87.75,8,7.5,8.5,10.5,15.5,6.5,11.5,8,7,4.75,17.5,25.5,16,13,11,83,Maya Devi Rana Ale,60,Male,NC
4,TANAHU,Gaunpalika,Rhishing,18821,756,918,165,109,918,4.88%,215.06,49.42273118,1.004228893,572.7490043,0.504180462,436.8128377,0.384518343,487.1879543,0.428862636,391.3652177,0.344511635,296.7730699,0.2612439,338.7218798,0.298170669,326.046747,0.287012981,170.6844613,0.150250406,197.1446187,0.173542798,170.0020363,0.14964968,257.4042531,0.226588251,141.5963251,0.124644652,68,9,6.5,8,7,11,5.5,7.5,7,3.5,3,46.25,8,4.5,6.5,8,8.25,2,3,3,1.5,1.5,12.5,16.5,11,2.5,6.5,49,Rajendra Krishna Shrestha,48,Male,NC
4,TANAHU,Nagarpalika,Shuklagandaki,55749,5423,6274,1734,646,6274,11.25%,164.77,48.81847377,1.279710872,553.1968154,0.634400018,444.2338287,0.509442464,463.6105124,0.531663432,384.1499372,0.440538919,297.0080841,0.340605601,298.1808444,0.34195051,311.5275279,0.357256339,136.1129909,0.156092879,210.1630769,0.241012703,185.6282455,0.212876428,205.1977485,0.235318519,157.9385803,0.181122225,54.25,8.5,3.25,6.5,6.5,10,5,4,3,4.5,3,76,9,7,8,8.5,13,7,9.5,8,5.5,0.5,13,24,14,10.5,9,70.5,Kishan Gurung,50,Male,NC
5,ARGHAKHANCHI,Nagarpalika,Bhumekasthan,28317,2139,1607,309,189,1607,5.68%,159.13,50.75285021,1.058403904,421.6150505,0.503721685,342.99068,0.409785759,391.4371005,0.467666787,297.8027492,0.355797789,241.3227648,0.288318715,243.9956748,0.291512156,259.6548589,0.310220859,85.40955551,0.10204248,169.770309,0.20283191,158.8605293,0.189797526,135.7482393,0.162184276,104.5432496,0.124902329,64.75,7.5,7,8,10.75,11,2.5,5,7.5,4.5,1,73.5,9,7,6.5,10,13,4,8,10,4,2,12,21,12,8,9,62,Resham Thapa,44,Male,CPN-MC
5,ARGHAKHANCHI,Gaunpalika,Chhatradev,21691,1919,1555,355,154,1555,7.17%,87.62,41.75864525,1.030179287,247.4016526,0.529767993,192.5161792,0.412240212,203.6632313,0.436109703,174.9175187,0.374555715,139.7540409,0.299259188,138.4056641,0.296371872,143.6690023,0.307642403,48.56313371,0.10398958,95.35981971,0.204196616,73.46528076,0.157313235,76.14787801,0.163057555,61.4448748,0.131573608,75.5,8,7,8,10.5,11.75,6.5,7.25,7,4.5,5,77.25,9,7.25,7,9.75,13,7,7.25,7,4.5,5.5,16,21.5,13,11,10,71.5,Lekhnath Pokharel,43,Male,NC
5,ARGHAKHANCHI,Gaunpalika,Malarani,23780,1843,1637,399,161,1637,6.88%,101.06,40.01782951,1.079459625,285.4044008,0.535467919,215.2263708,0.403801821,233.3031573,0.437716993,195.8817964,0.367508061,151.3627141,0.283982578,155.0949584,0.290984913,166.6238922,0.312615182,66.87662104,0.125472084,113.8455878,0.213593973,89.01465759,0.167006862,93.66786672,0.175737086,70.6197568,0.132494853,65.75,7.5,7.25,9.5,7.75,12.25,6,6,2.5,4.5,2.5,72.5,8.5,6.5,8.5,8.75,13.75,5,8,6,5.5,2,13.5,17,7,6.5,8.5,52.5,Bal Krishna Sharma (Acharya),62,Male,CPN-UML
5,ARGHAKHANCHI,Gaunpalika,Panini,22330,1877,1307,335,181,1307,5.85%,151.43,38.04405908,0.952294185,404.0951043,0.507020206,316.1443321,0.39666792,339.6057198,0.426105044,282.6639806,0.354659951,211.4011089,0.265246059,226.4336675,0.284107487,246.0125572,0.308673221,76.05325,0.095424404,148.0674904,0.185781042,106.6903363,0.133864914,123.4721168,0.1549211,98.67333509,0.123805941,85,8.5,7.25,8.5,9.75,15,7,8,8,7,6,83.25,9,7.5,9,10,14.75,7,8,7,7,4,13,22.5,11,4.5,5.5,56.5,Achyut Gautam,43,Male,NC
5,ARGHAKHANCHI,Nagarpalika,Sandhikharka,42528,4441,3990,1207,697,3990,9.38%,129.42,38.34825307,1.063831752,424.9528445,0.621276088,302.082997,0.441641808,304.5592692,0.445262089,262.0905806,0.383173363,197.5118819,0.288760061,210.8138039,0.308207316,220.1395843,0.321841498,77.50950593,0.113317991,146.8960242,0.214760269,106.1793068,0.155232905,119.4995388,0.174706928,110.2144128,0.161132182,73.25,7,7,8,10.5,12.5,6,6.5,5.25,4.5,6,79.25,9,5.5,7,10.75,13,7,9.5,6.25,5.5,5.75,18.5,22.5,11,11,12.5,75.5,Kamal Prasad Bhusal,56,Male,NC
