PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021,popn_secondary,popn_highschool,popn_graduate,popn_post_graduate, popn_highschool_and_equivalent,popn_highshool_above,high_school_per,area_kmsq,percen_chg_nl,baseline_nl_sqkm,sum_2023,sum_2022,sum_2021,sum_2020,sum_2019,sum_2018,sum_2017,sum_2016,sum_2015,sum_2014,sum_2013,sum_2012,lisa_20_21,gov_magm_20_21,org_admin_20_21,budg_magm_20_21,fiscal_magm_20_21,service_dev_20_21,jud_exe_20_21,phy_infra_20_21,soc_inc_20_21,env_protec_20_21,cop_cor_20_21,lisa_21_22,gov_magm_21_22,org_admin_21_22,budg_magm_21_22,fiscal_magm_21_22,service_dev_21_22,jud_exe_21_22,phy_infra_21_22,soc_inc_21_22,env_protec_21_22,cop_cor_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation,Neighbor_Percent,lisa_20_21,10.1.1_20_21,10.1.2_20_21,10.2.1_20_21,10.3.1_20_21,10.3.2_20_21,10.3.3_20_21,10.1.1_21_22,10.1.2_21_22,10.2.1_21_22,10.3.1_21_22,10.3.2_21_22,10.3.3_21_22
1,DHANKUTA,Gaunpalika,Chhathar Jorpati,16477,1239,1306,286,147,1306,1739,10.55%,102.83,40.36689332,1.078484093,280.720893,226.8151118,233.1978208,185.5688497,132.4243315,166.6155432,166.1344889,67.0108471,109.3040428,101.1526982,97.95623427,57.5462999,79.25,8,8,8,9.5,13.5,7,11.25,6,6,2,87,8,8,11,11,15,7,12,7,6,2,Sherbahadur Limbu,39,Male,CPN-UML,46.15%,79.25,0,0,1,0,1,0,0,0,0,1,1,0
1,DHANKUTA,Nagarpalika,Dhankuta,36156,3295,3684,1298,741,3684,5723,15.83%,110.84,52.21074481,1.309869854,381.0934096,313.5230629,323.8336518,260.9253474,177.5454623,203.8507519,212.7534769,88.24869306,137.9614503,141.780278,127.8978218,120.1473988,64,8,3.5,5.5,8,11.5,6,7.75,5,6,2.75,66.5,8.5,4.25,5.5,7.5,12.5,5.5,9,5.75,6,2,Chintan Tamang,51,Male,CPN-UML,30.77%,64,1,0.75,1,0,0,0,0,0,1,1,0,0
1,DHANKUTA,Gaunpalika,Khalsa Chhintang Shahidbhumi,17784,1279,1058,195,67,1058,1320,7.42%,99.55,42.27999205,0.930144198,241.6247098,193.5040015,210.070415,169.3455053,113.0789211,141.2908129,147.6457877,48.96010177,97.28850357,76.48902651,82.13750796,45.10176359,57,7.5,5.5,8,9,7.5,6,4,3.5,4,2,62.5,8,4,7,7.75,11.25,6,8.5,5,5,0,Manoj Rai,40,Male,CPN-UML,38.46%,57,0,0,1,0,1,0,0,0,0,0,0,0
1,DHANKUTA,Nagarpalika,Mahalaxmi,22196,1789,1766,457,200,1766,2423,10.92%,129.39,32.65899471,0.856128263,316.1047512,254.5336111,250.8410416,219.9550949,146.5512255,172.975326,189.0870967,57.23884325,120.6693462,76.10245764,93.71752103,51.91443979,54.5,7.75,5.5,4.75,6.25,6.5,5,8,5.5,4,1.25,73.25,8,7,9.5,6.75,15,5,6.5,8,5.5,2,Parshu Ram Nepal,39,Male,CPN-UML,15.38%,54.5,0.75,0,0,0,0.5,0,0,0,0,0,1,1
1,DHANKUTA,Nagarpalika,Pakhribas,19256,1587,1185,312,157,1185,1654,8.59%,144.29,66.76560917,0.937573142,366.0894334,301.3189023,357.5037248,253.4175689,170.0554088,200.3979216,214.3749701,88.04151482,131.7384331,106.9747966,116.2279659,64.97667484,84,8,8,9.5,10,15,7,12,8,4.5,2,75.25,8.5,7,7,8.25,13,6,12,6,6.5,1,Brisha Bahadur Rai,49,Male,CPN-UML,46.15%,84,0,1,0,0,0,1,0,1,0,0,0,0
1,DHANKUTA,Gaunpalika,Sangurigadhi,19601,1252,1255,237,101,1255,1593,8.13%,166.44,38.98103848,0.957790607,417.5762596,344.9118502,354.3654255,304.2826549,203.938252,253.8556872,254.973937,102.2112367,167.4377372,113.0357639,144.7164796,75.62353119,48,7.75,2.75,9,8,5.5,3.5,5.5,2.5,2,1.5,67.5,7.25,5.25,9,9.5,10.5,6,10,4,2.5,3.5,Kumar Jung Yakha,47,Male,CPN-UML,53.85%,48,0,0.5,0,0,0,1,0,0.5,1,0,1,1
1,ILAM,Gaunpalika,Chulachuli,22856,1491,1618,303,154,1618,2075,9.08%,108.46,90.85054252,1.092105379,367.6746646,308.842223,319.2475665,281.4326564,168.7034593,184.7930377,167.2762164,64.86418685,124.3622623,117.296332,137.4131673,46.41547837,69,8,6,6.5,8.5,12,6,8,4.5,5,4.5,77.25,8.5,7,9.5,11,15,7,6.25,5,4.5,3.5,Pradip Chandra Rai,54,Male,CPN-UML,38.46%,69,1,0,1,0.5,1,1,0.5,1,1,0,1,0
1,ILAM,Nagarpalika,Deumai,31531,2243,3070,881,316,3070,4267,13.53%,191.76,31.14726103,0.871701128,449.0418411,379.4294205,370.301921,338.9731071,222.1351115,263.8269368,282.3558175,74.11347798,185.4058555,126.7544819,145.5471123,83.6640823,64.25,9,6,5.5,9.75,13.5,6,6,4.25,2.5,1.75,60.25,8,6,6,8,11.5,4.5,4.75,5,4,2.5,Surya Prasad Pokhrel,53,Male,CPN-UML,15.38%,64.25,0.5,0.75,0,0,0.5,0,1,1,0,0.5,0,0
1,ILAM,Gaunpalika,Fakphokthum,20004,1216,1947,501,237,1947,2685,13.42%,108.79,32.79376587,0.88671196,261.8736219,225.3364805,216.6793004,200.7256233,129.885855,151.8913146,163.1697836,45.08277158,107.2874765,70.32154463,81.26540176,49.03859531,33,3.25,3.5,1.5,4,7.75,5,4.5,1,2,0.5,60.75,7,5,5.5,7.5,11.75,7,5.5,6.5,4.5,0.5,Ram Kumar Shrestha,46,Male,NC,15.38%,33,0,0,0,0.5,0,0,0,0,0,0,0,0.5
1,ILAM,Nagarpalika,Illam,50455,4440,5412,1919,1023,5412,8354,16.56%,173.32,33.70347036,1.107769415,494.4517652,421.807585,412.0168322,404.7605332,272.1944483,290.2230231,308.1571713,108.7788211,205.4068133,145.6515745,167.2653422,127.8457561,86,8.5,7.5,9.5,11,15.5,7,11,6,6,4,93,8.5,8,11,11,16,7,11,9,6.5,5,Mahesh Basnet,57,Male,CPN-UML,38.46%,86,1,1,1,0,1,0,1,1,1,0,1,1
1,ILAM,Nagarpalika,Mai,19295,1815,1609,322,112,1785,2043,10.59%,264.11,43.75043276,1.153329065,667.1432146,559.1390245,590.5888994,527.9579712,331.0659209,378.7964659,410.8432149,191.12029,299.6340671,316.8253851,324.7860444,136.9661061,48.5,6.5,2.75,7.5,5,8.25,7,1.5,7,2.5,0.5,63.25,9,5.25,5.5,8.25,12.75,6,5,6.5,4.25,0.75,Deepak Kumar Thebe,56,Male,CPN-UML,53.85%,48.5,0,0,0,0,0,0.5,0.75,0,0,0,0,0
1,ILAM,Gaunpalika,Maijogmai,30988,1388,1785,403,131,1609,2319,7.48%,135.76,34.56803633,0.911013031,349.095616,294.634605,290.3172903,273.1070145,175.0662308,193.5904573,215.7401551,62.42422272,132.6869344,83.86520396,93.55680675,50.24037335,64.75,8.5,5.25,9,8.75,12.25,7,8.5,2,3,0.5,81.25,9,5.5,9,11,14.75,7,11,6,5,3,Jit Bahadur Rai,40,Male,CPN-UML,23.08%,64.75,0,0,0,0,0,0.5,0,0,1,0,1,1
1,ILAM,Gaunpalika,Mangsebung,16897,929,1343,294,133,1343,1770,10.48%,172.41,58.94522674,0.952174317,408.7044973,331.2688456,381.5869102,335.6826511,195.0684707,242.8286791,240.0744697,87.5777989,170.7702132,158.2350144,177.0952103,50.197797,51,7.5,5,6,8.75,9.25,7,3,1.5,3,0,57.5,8.5,5.25,6.5,8,10.25,7,4,2.5,5,0.5,Dikendra Indigo,37,Male,NC,7.69%,51,0,0,0,0,0,0,0,0,0.5,0,0,0
1,ILAM,Gaunpalika,Rong,17555,1170,1302,262,88,1302,1652,9.41%,155.06,43.09734377,0.962896854,404.3309984,339.336764,341.0125233,297.266403,195.730088,231.4545949,238.3080736,77.15495673,165.5563819,116.2077326,158.9240566,62.95795347,48.25,6.75,2.5,7.5,5.5,10,6,4.5,4.5,0.5,0.5,52,7,4.25,5,5.5,7.75,7,7,5,2,1.5,Samsher Rai,46,Male,NC,15.38%,48.25,0.5,0,0,0,0,0,0,0.5,1,0,0,0
1,ILAM,Gaunpalika,Sandakpur,15460,1041,1167,279,94,1167,1540,9.96%,156.01,21.46383525,0.918044192,374.9191682,308.9059846,297.1160794,280.8846323,190.4283859,221.7177881,244.6127926,70.51671772,153.0181613,104.7486259,111.8254513,61.44367645,56.75,7.5,4,9,6.5,10.5,6,5.25,4.5,3,0.5,67.25,7,3,10,8.5,13,7,8.5,5.75,3,1.5,Udaya Bahadur Rai,48,Male,CPN-UML,15.38%,56.75,0,0,0,0,0,0.5,0,0,0.5,0,1,0
1,ILAM,Nagarpalika,Suryodaya,55457,4064,5330,1666,523,5330,7519,13.56%,225.52,28.6255492,1.115419456,637.7693801,536.6581334,526.8125185,491.227246,330.9276043,386.7086453,409.570666,153.4292401,265.5097501,177.6879269,206.0445999,137.3422045,81.25,7.5,6,9,9,14,7,10.5,9,5,4.25,96.25,9,8,11,9.75,16,7,13,9,7.5,6,Ran Bahadur Rai,46,Male,CPN-UML,30.77%,81.25,1,0.75,1,0.5,1,0,1,1,1,1,1,1
1,JHAPA,Nagarpalika,Arjundhara,84429,8848,8506,2397,911,8506,11814,13.99%,109.86,83.51401514,1.901104019,654.6945622,535.0520779,541.1978441,444.130524,294.7567596,341.1021998,294.9081811,171.1875886,201.4651651,167.8602152,206.4806624,201.8594815,60.75,6.75,5,8,9,9.75,6.5,10,1,2,2.75,60.5,7.5,4,7,7.25,9.5,7,9,2.5,2,4.75,Hari Kumar Rana Magar,59,Male,CPN-UML,30.77%,60.75,0,0.75,1,0,1,0,0.5,0.75,0.5,1,1,1
1,JHAPA,Gaunpalika,Barhadashi,37916,2968,2919,672,223,2919,3814,10.06%,80.32,55.43890928,1.387212462,323.315398,268.9211812,257.073687,220.622989,162.2253571,171.3257565,165.3856735,79.53142975,116.5172301,84.24928638,98.19624668,81.36182069,38.25,6,3.75,3.5,7,7.25,5,2,1.75,2,0,58.75,8,5.75,6.5,8.5,11,6,4.75,3,2.5,2.75,Khanga Prasad Rajbanshi,54,Male,NC,7.69%,38.25,0,0,0,0,0,0,0.75,0,0,0,1,1
1,JHAPA,Nagarpalika,Bhadrapur,70823,6214,7346,2719,1186,7346,11251,15.89%,96.35,53.05031075,3.324836305,688.5561481,538.6217924,550.3349152,484.9185099,384.9818026,405.2602063,359.5777836,293.974515,343.3333091,284.5063042,298.6434557,348.7590039,59.75,8,3,7,6.5,9.75,7,9,5,4.5,0,67.25,8,3,6.5,8.5,11.75,7,9.5,8.5,4.5,0,Jiwan Kumar Shrestha,52,Male,CPN-UML,7.69%,59.75,0,0,0,0,0,0,0,0,0,0,0,0
1,JHAPA,Nagarpalika,Birtamod,117355,13073,15454,5476,2366,15454,23296,19.85%,78.24,105.3988319,3.487148985,818.3350351,704.3193913,709.8435769,566.2040886,413.6504052,459.7232898,345.5928012,259.7066408,237.8477799,248.1909243,241.1488434,424.4461487,50.75,7,2.5,8.5,4.5,9.75,7,5.5,0,2.5,3.5,62.75,7.75,4,7.5,7.5,10.75,7,5,6.5,4,2.75,Dhurwa Kumar Siwakoti,61,Male,CPN-UML,23.08%,50.75,0,1,1,0,0.5,1,1,0.75,0.5,0,0.5,0
1,JHAPA,Gaunpalika,Buddhashanti,52911,4849,5544,1664,583,5544,7791,14.72%,79.78,80.76674888,1.622212054,405.0461368,342.0675957,334.6659242,282.6690728,191.4360965,206.3146707,185.1368829,98.75576846,132.3342341,101.4534252,112.5122855,78.68652424,36.5,6,1,5,4.25,6.75,5,4,3,1.5,0,40,7.25,1.5,2,4,7.75,6.5,6,3,1,1,Ramesh Kumar Bhujel,58,Male,NC,15.38%,36.5,0,0,0,0,0,0,0,0,0,0,0,1
1,JHAPA,Nagarpalika,Damak,107410,12287,14126,4783,1942,14126,20851,19.41%,70.86,136.9563455,3.035361119,773.6217444,615.7972673,602.4653645,508.5889835,347.4304642,417.1973588,254.2516273,217.4981878,214.9245855,173.6683549,192.7124475,309.4715328,69.25,8,4,9,8.75,9.5,6,7,5.5,7,4.5,77.25,7.75,6.5,7.75,8.25,12.5,7,8.5,6,8.5,4.5,Romnath Oli,60,Male,CPN-UML,23.08%,69.25,0.5,0.5,1,1,1,0.5,0.5,1,0.5,0.5,1,1
1,JHAPA,Nagarpalika,Gauradhaha,60598,5025,5318,1482,566,5318,7366,12.16%,149.89,65.02017127,1.15228252,535.4815553,482.873989,449.3998694,376.9544517,261.9435906,289.0273144,272.3302648,102.8673557,190.821271,124.843616,149.7497061,137.2039319,51.5,8.5,4.75,4.5,7.75,10,6,3.5,3.5,2.5,0.5,63.5,9,4.5,7.5,8,11.5,6,9,3.5,4,0.5,Rohit Kumar Shaha,46,Male,NC,15.38%,51.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0
1,JHAPA,Gaunpalika,Gauriganj,36058,1669,1996,506,215,1996,2717,7.54%,101.35,53.32051972,1.286010447,380.3557104,349.634258,305.3812981,253.5970941,187.2598068,199.5323699,199.1783609,89.89868904,138.1534873,94.11809786,110.1957656,111.8190567,65.25,8.5,7,6.5,9.25,13,6.5,5,6.5,2.5,0.5,60.25,8,6.5,5.5,9.75,12,6,5,4.5,3,0,Baburaj Shrestha,57,Male,RPP,0.00%,65.25,0.5,0,0,0,0,0,0,0,0,0,0,0
1,JHAPA,Gaunpalika,Haldibari,33054,2989,2720,526,194,2720,3440,10.41%,117.34,58.95834529,1.405335128,498.2518566,411.2558992,379.3475429,308.6369612,223.3067753,246.9870516,238.6458806,115.8807377,171.7034143,133.3780632,163.4209584,94.7248647,48.25,6.75,5,5.75,8.5,11.75,7,1.5,0,2,0,48.5,7.5,4.5,6,8,12.5,6,0.5,2,1.5,0,Rawindra Prasad Lingden,47,Male,RPP,7.69%,48.25,0,0,0,0,0,0,0,0,0,0,0,0
1,JHAPA,Gaunpalika,Jhapa,39372,1918,1844,374,153,1844,2371,6.02%,94.12,33.45058688,1.331564607,311.2779698,262.5231275,246.8572235,223.1907587,170.7211001,182.278963,184.9802457,86.0587048,132.8016721,97.46682078,110.6316501,95.31497566,53.25,6,3,8,8,11.25,4,5.5,2,4,1.5,65.5,8,5.75,6,8.25,12,5,6,6.5,6,2,Jaya Narayan Shah,51,Male,NC,7.69%,53.25,0.5,0,0,1,0,0,0,0,0,1,0,1
1,JHAPA,Gaunpalika,Kachankawal,42386,2406,2341,462,153,2341,2956,6.97%,109.65,37.63645765,1.522231602,427.9691118,367.1105171,348.0756652,317.5172509,249.1936893,266.0119686,252.8949605,121.2675467,170.3511882,123.1370852,131.5490429,114.6193713,45,5.5,4.5,7.5,6.5,8,5,3,2,2.5,0.5,66.75,7.5,6.5,8.5,6,8.25,6.5,6.5,7.5,6.5,3,Anjara Aalam,49,Male,RPP,7.69%,45,0,0,0,0,0,0.5,0,0,1,0,1,1
1,JHAPA,Gaunpalika,Kamal,53710,5689,4945,1212,450,4945,6607,12.30%,104.57,93.20206103,1.493802493,538.284844,466.4374849,444.2125808,378.6155181,260.7664189,284.9831447,229.9212433,120.2883812,166.2856126,108.3324698,125.3704892,118.59352,60.75,7.5,4,4.5,10.25,8,7,10,4.5,5,0,69.75,8.5,5.5,8,9,12,7,8.75,5,3.5,2.5,Menuka Kafle,53,Male,CPN-UML,23.08%,60.75,0,0,0,0,0,0,0,0.5,1,0,1,0
1,JHAPA,Nagarpalika,Kankai,53088,5866,5449,1546,651,5449,7646,14.40%,79.09,83.98271777,1.8323743,512.1678448,402.113185,374.2247103,333.1741988,218.9376715,238.484328,203.4020993,118.0617783,143.6083653,114.6176907,144.9544471,136.122287,77.75,7,7,8.5,10.5,14.5,5.5,10.25,5,5.5,4,90,8,8,10,10,15.5,7,11,9.5,6.5,4.5,Rajendra Kumar Pokhrel,53,Male,CPN-UML,30.77%,77.75,0.5,0.5,1,1,1,0,0.5,0.5,1,1,1,0.5
1,JHAPA,Nagarpalika,Mechinagar,131520,11308,12885,4023,1494,12885,18402,13.99%,192.61,93.6394827,2.144701971,1458.196429,1278.371018,1137.48367,918.0655717,654.4610793,654.587428,587.4234191,351.1311581,408.0636909,305.7459182,310.8678161,274.4621598,54,6.5,3.5,5.5,6.25,7.5,6.5,5.5,5.25,6,1.5,74.75,8,5,8,8.75,15,6,11,1.5,7.5,4,Bimal Acharya,46,Male,NC,15.38%,54,0,0.5,0.5,0,0.5,0,1,1,1,0,1,0
1,JHAPA,Nagarpalika,Shivasataxi,73460,7283,6337,1600,627,6337,8564,11.66%,145.47,72.51151197,1.430025638,654.4491027,530.9892723,514.3976818,440.8327624,291.3940372,330.5295064,298.1816552,154.8999234,216.8942185,162.1275214,186.0405752,145.9792541,68.75,7.25,4,6.5,9.5,11.5,5.75,9.25,10,4,1,63.25,8,5.25,6.5,8.5,11.5,5.5,11,4,2,1,Chandra Kumar Bhaktabahadur Serma,55,Male,CPN-UML,30.77%,68.75,1,0,0,0,0,0,1,0,0,0,0,0
1,KHOTANG,Gaunpalika,Ainselukhark,13581,1001,801,181,75,801,1057,7.78%,125.39,50.43564077,0.853212753,293.4156821,256.8744117,267.5542749,230.4800128,160.8949801,165.8481958,177.8529832,43.737668,123.2654244,83.08131284,87.89810922,57.19086387,60,6.5,6.25,6.5,10,11.5,5.5,7.5,1.75,3.5,1,59.5,7,5.5,8.5,8,11.5,6,8,0,4,1,Bishwa Nath Niraula,57,Male,NC,0.00%,60,0,0,0,0,0,1,0,0,0,0,0,1
1,KHOTANG,Gaunpalika,Barahapokhari,11461,563,665,120,44,665,829,7.23%,141.6,38.73403315,0.885454285,321.2716932,250.4831832,268.3383278,229.8722007,163.5707207,183.6032404,193.419251,90.92598344,116.311354,100.8647185,108.9001769,49.63514604,70.75,8,6.25,9,8.5,13.75,5.5,7.5,6,4.75,1.5,60.5,8.5,5,4.5,6,12.5,6,7.5,4.5,3.5,2.5,Salik Raj Banjara,40,Male,NC,7.69%,70.75,0.5,0.5,0,0.5,0,0,0,0,0,1,0.5,1
1,KHOTANG,Gaunpalika,Diprung,16549,1159,999,183,112,999,1294,7.82%,136.48,44.84651201,0.845005048,326.5290598,256.8981688,272.8292929,232.8775346,159.0977941,196.7808238,188.3575166,57.5385238,131.2233065,84.18580882,110.1616661,55.50940439,80.5,8,7,8.5,9.5,14,4,9.5,8.5,7,4.5,83.5,9,7,10,11,15.5,6,6,8.5,4.5,6,Bhupendra Rai,39,Male,NC,7.69%,80.5,0.75,0.75,1,1,0,1,1,1,1,1,1,1
1,KHOTANG,Nagarpalika,Halesi Tuwachung,27274,1272,1868,308,145,999,2321,8.51%,280.17,34.1572804,0.845640049,689.3536239,527.7534532,530.7765611,476.1601373,332.846771,375.1024537,395.6375379,83.16672132,268.1667045,200.7209266,192.0865083,142.0108514,78.75,8.5,5.25,6,7,16,5,6,10,9,6,96,9,8,10.5,11,15,7,10.5,10,9,6,Ewan Rai,34,Male,NC,15.38%,78.75,1,1,1,1,1,1,1,1,1,1,1,1
1,KHOTANG,Gaunpalika,Jantedhunga,12066,802,794,107,51,1868,952,7.89%,128.62,45.95663455,0.786099446,296.8352282,229.5259559,247.4401039,205.7145244,137.5337573,159.9447102,169.5298776,45.01697282,102.0854337,87.80015904,129.6162779,37.01133053,43.5,8,3,7,5.5,10.75,4.5,2.5,1.75,0.5,0,69.25,7.5,6,8,8,13.75,7,6,6,5,2,Sankar Bahadur Rai,44,Male,CPN-UML,7.69%,43.5,0,0,0,0,0,0,0,0,0,1,1,0
1,KHOTANG,Gaunpalika,Kepilasagadhi,13339,540,759,190,92,794,1041,7.80%,191.58,34.40826535,0.783293558,416.979775,354.1949803,352.2627036,321.7705091,217.0895084,241.4185448,262.0841082,56.15798382,175.4028936,106.6085337,122.3854051,60.08932504,61.5,8,6.5,6,7.25,8.75,7,7.75,7.25,1.5,1.5,78.5,7,7,7.5,9,12.5,7,12,8,5.5,3,Krishna Kumar Rai,50,Male,CPN-UML,23.08%,61.5,0.5,0,0.5,0.5,0,0,0.75,0.75,0.5,0.5,0.5,0
1,KHOTANG,Gaunpalika,Khotehang,16952,811,1150,238,92,759,1480,8.73%,164.09,47.9217756,0.889407438,390.9733993,309.0306104,342.605458,278.8013374,196.2612359,219.6074608,231.6125916,78.34004694,141.9277,131.8911275,124.7445319,67.66670285,63.25,6,8,6,9.5,13.25,6.5,3.5,6.5,3,1,68.5,7.75,8,7,11,13.5,7,7,4.75,1.5,1,Pradip Rai,46,Male,CPN-UML,30.77%,63.25,0,0,1,0,0,0,0,0,1,0,0,0
1,KHOTANG,Gaunpalika,Lamidanda,11218,900,626,153,81,1150,860,7.67%,97.42,34.79217682,0.847133048,234.9226572,187.6989989,185.7799909,167.5179797,121.5532694,126.4285178,137.8269832,37.64855926,96.65498473,57.98027876,63.89227109,47.36175494,50.5,6.5,5.5,5.5,6.5,10,5,6,1.5,2,2,80.5,8,6.5,10.5,11,15.25,7,10.75,6.75,4.75,0,Lila Nath Niraula,49,Male,CPN-UML,15.38%,50.5,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0
